// key	CHAT_SPA_
sc001_spa_1	ふぅ…\心も体もしっかりケアしなくちゃですよね♥
sc451_spa_end	もうこんな時間…\わたしはそろそろ行くわね。
sc451_spa_max	今度一緒にショッピングしない？\新しい水着を買いたいの。\もちろん、あなたは荷物持ちね。\ふふっ。
sc452_spa_1	ふふっ、太極拳は、しなやかさが大切なのよ？
sc452_spa_2	あなた、ここにいて恥ずかしくないの？\肝が据わってるわね。
sc452_spa_3	オーナーさんに水着の撮影時間の変更を\伝えてくれる？\さっきいっぱい食べちゃって。\この意味わかるわよね？
sc452_spa_4	私とヒトミが仲良し？\間違いじゃないけど、正解でもないわね。\ライバル、ってところかしら。\負ける気はないけどね♪
sc452_spa_5	今晩、新しい服を買いに行くから\手伝ってくれない？\ふふ、デートのお誘いだと思った？\まさか～♪
sc452_spa_end	温泉は充分楽しんだし、アロマテラピーでも\しようかしら?
sc452_spa_max	料理対決でヒトミに勝てたら\私が作った料理を味見させてあげる。\あなただけ特別よ♪
sc453_spa_1	アモス島にもいい温泉があるそうです。\今度招待しますね。
sc453_spa_2	テイワズ様がまた男性にプロポーズ\されたんですか？\はあ…ジュノー様に知られたら…
sc453_spa_3	私にとってテイワズ様は一筋の光です。\私の契約者は、テイワズ様と出会って\救われました。
sc453_spa_4	誰だってそれなりの魅力があります。\かわいいとかかっこいいとかじゃなくて\例えば…あなたみたいな？
sc453_spa_5	愛情は言葉に出さないと意味がありません。\話さないと伝わらないことってあるんです。\あなたの気持ちはどうなんですか？
sc453_spa_max	恋する気持ちは抑えられるものではありません。\あらっ？\顔が赤いですよ？\どうしたんですか～？
sc454_spa_1	ほぅ…なかなかいい温泉だな…
sc454_spa_2	巷では生意気なヤツだと言われてるようだが…\そんなことはどうでもいい。\テイワズと一緒にいるときの俺が\本当の俺だからな。
sc454_spa_3	テイワズも温泉に来たのか？\ちょっと待て…\誰かテイワズに触ったりしてないよな？
sc454_spa_4	俺みたいなヤツには仮面が必要だ。\そう思わないか？
sc454_spa_5	いつかテイワズに見放されるかもしれない…\そうなったら…死ぬかもな。\はっはっはっ！
sc454_spa_max	テイワズの友人にも、いいヤツがいるんだな。\もちろん、お前も。
sc455_spa_1	さあ、こっちにきて。\あら？顔が赤いわよ？\具合でも悪いの？
sc455_spa_2	ときどき…\ジュノーの気持ちがわからなくなるの。\幸せって言うけど、本当にそう思っているかしら…？
sc455_spa_3	ジュノーは私にとって特別な悪魔。\それなのに…どうして誰も信じてくれないの？
sc455_spa_4	さびしいのはイヤ。\でも…みんなとずっと一緒にいることなんて\できないし…
sc455_spa_5	私、愛がどういうものなのか、分かっていなかったみたい。\でも、今なら分かるわ。ふふっ。
sc455_spa_max	私の友だちになってくれて、ありがとう。\もうさびしくないから。\あなたのおかげよ。
sc456_spa_1	はあ～気持ちいい…\お肌がスベスベになりました。\触ってみますか～？\うっふふっ！\そんなに触りたかったんですか～？
sc456_spa_2	ジュノー様に仕えることができて光栄です。\ジュノー様は…カッコいいので…
sc456_spa_3	アモス島は平和で静かで…\何もなければ一生住みたい島ですね。
sc456_spa_4	アモス島にも温泉があったらいいですね。\あとでジュノー様に作ってもらいましょう。
sc456_spa_5	天気もいいし雰囲気もいいですね。\完璧なパートナーがそばにいれば\もっといいのですが…
sc456_spa_max	ずっと見つめていたら…\悪魔様もなんだかカッコよく見えるかも\しれませんね。\うっふふっ！
sc457_spa_1	ステキな温泉ですね。\リラックスできそうです。
sc457_spa_2	執事のわたくしなら、自然と多くの情報が\集められます。
sc457_spa_3	アモス島で過ごせば元気になれるでしょう。\悪魔様にも元気が必要です。
sc457_spa_4	いつか旅をしたいです。\マシュー様の遺言を守るために…
sc457_spa_max	マシュー様の意思がわたくしの心にある限り\彼の生命は消えません。
sc458_spa_1	どっちがいつまで温泉に入っていられるか…\勝負よ…
sc458_spa_2	はあ…疲れがとれるわ…\はッ！これって罠ね！\危ないところだったわ！
sc458_spa_3	元々スポーツって苦痛の連続なのよ。\温泉の熱さと同じね！
sc458_spa_4	あきらめたらそこでレース失格よ。\レースのない人生なんて\あたしには意味がないの…
sc458_spa_5	レースに出ないなんて、もったいないわね…\あんたもけっこう素質あるのに…
sc458_spa_max	いいレースだったわ。\なかなかやるわね…\また勝負しない？
sc459_spa_1	ふぅ…\カークスも連れてくればよかったな…
sc459_spa_2	はあ…\疲れが取れるな。\ところでカークスは今どこだ？
sc459_spa_3	はぁ…カークス…\またトラブルか？
sc459_spa_4	カークスは、ホント手間がかかる…\でも、仕方ない…\あたしの妹だからな…
sc459_spa_5	カークスのことよろしく頼む…\ちょっと無愛想だけど\意外とかわいいところもあるからさ…
sc459_spa_max	カークスの面倒を見てくれてありがとうな。\おかげで気持ちが楽になった。
sc460_spa_1	温泉って、いい香りがするのね。\次はあの子と一緒に…
sc460_spa_2	あなたをどこまで信じればいいの？\悪魔ってことには代わりはないし…
sc460_spa_3	チャイルドは道具じゃないのよ。\私にとってあの子は…\大事な友だちだし、家族だから。
sc460_spa_4	大切なものは、なくしてしまうもの。\あの子が私のそばからいなくなったのは\大切だったから？
sc460_spa_5	姉さんは私のこと、英雄気取りだって言ったけど\私の願いは、チャイルドの英雄になることよ。
sc460_spa_max	私が魔王になったら、チャイルドが苦しむことも\悲しむこともない魔界にするわ。
sc461_spa_1	この温泉、高いんでしょ？\悪魔さんはお金ないから\ムダづかいしないようにするわ。
sc461_spa_2	ずっと待ってたんだよ。\悪魔さんのこと…\やっと会えたねっ！
sc461_spa_3	悪魔さん、どう？\キラキラしてるでしょ～！
sc461_spa_4	ちょっとぐらい遅くなっても大丈夫だよ。
sc461_spa_5	悪魔さんが帰ってきたら何しようか\ずっと考えてたんだけど…\悪魔さんに会えたらうれしくて忘れちゃった！
sc461_spa_max	心配しないで。\ツラくてもいつか幸せになれるから。\あたしが悪魔さんを幸せにするから！
sc462_spa_1	シスター小夜子を見ませんでしたか？\ふふっ…\意外とはずかしがりやなんですよね。
sc462_spa_2	誰も彼女を許しません。\みんな彼女のそばから離れたのです。\私も…彼女と同じ罪人なのでしょう。
sc462_spa_3	私はシスター小夜子の光にはなれません。\ただ彼女とともに闇の中をさまようだけです。
sc462_spa_4	私はシスター小夜子を救えませんが\彼女を守る影となるでしょう。
sc462_spa_5	あなたが悪魔でも神でもかまいません。\シスター小夜子を守れるなら\私は悪魔になります。
sc462_spa_max	あなたはさらなる高みへと進んでください。\私は最も低いところからあなたを見守ります。\シスター小夜子と一緒に。
sc463_spa_1	温泉って…騒々しいわね。\もう少し静かなところってないの？
sc463_spa_2	私だって方向音痴になりたくて\なったわけじゃない。\だから、余計なこと言わないで。
sc463_spa_3	あなたって余裕そうなフリしてるけど\まだ私を受け入れる準備できてないでしょ？\顔に書いてあるわよ。
sc463_spa_4	いつまでもぼ～っと見てるなら\出てってくれない？\それがイヤなら一緒に入れば？
sc463_spa_5	あなたに会えて…よかったわ。\でも、だからってうぬぼれてるところは\気に入らないわね。
sc463_spa_max	あなたの運命と私の運命って\複雑に絡みあってるみたいね。\これからも、あなたを守るしかないじゃない。
sc464_spa_1	こんなにゆっくりできるのも、久しぶりですね。
sc464_spa_2	色即是空、空即是色…\この世の全ては縁によって存在するのです。
sc464_spa_3	心を清めていると\完全に清いものはないことに気づきました。\完全なる清さ…\究極の善とはどんなものでしょうか？
sc464_spa_4	傷が傷痕になれば過去になります。\でも、あなたの傷は…\まだ血を流しているようです。
sc464_spa_5	全ての悪を裁こうとしたことがありました。\でも、あなたと手をつないでから\気づいたのです。\善も悪もやさしく包み込むべきだと…
sc464_spa_max	来世に生まれ変わっても\あなたに会いたいです。\その時、お互いのことを覚えていたら…\私と手をつないでくださいね。
sc465_spa_1	ごゆっくり…おくつろぎください。
sc465_spa_2	おかげで疲れが取れました。\次の戦闘では全力を尽くします。
sc465_spa_3	ご主人様の意のままに\ナタをしつけておきます。\どうかナタの振る舞いをご容赦ください。
sc465_spa_4	ご主人様、ナタを連れてきてもよろしいですか？\彼女は毎日疲れているようで…
sc465_spa_5	ご主人様のやさしさには\まことに恐れ入ります。
sc465_spa_max	わたくしが使えるのは、ご主人様だけです…\わたくしは生涯、忠誠を誓います。
sc466_spa_1	こんなところに温泉があったのね。\いいところじゃない。
sc466_spa_2	きゃ～！\なにこの温泉すごくない！\楽しいからまた来よう。
sc466_spa_3	悪魔！\なんでもっと早く連れてこなかったの？\今までひとりで楽しんでたんでしょ。
sc466_spa_4	はぁ～っ。\なんだか肌がきれいになって\疲れもとれた感じ～\ありがとね、悪魔～
sc466_spa_5	あんたほどの主人は他にいないってことよ。\だからさ～\あたしのこと見捨てないでよねっ！
sc466_spa_max	あ～いいお湯だったわね～\うふふふっ！\ありがとう。\あんたは最高の悪魔よ。
sc467_spa_1	あら、こんな温泉に連れてきてくれるなんて…\きっと忘れられない思い出になりますね。
sc467_spa_2	治療中の悪魔やチャイルドたちにも\この温泉をすすめています。\たまにフリンスと一緒に来てるんですよ。
sc467_spa_3	今度フリンスと一緒にお食事しましょうか。\あっ、フリンスのこと苦手なんですか？
sc467_spa_4	多分どこかでフリンスは、\ずっと私を見守っているでしょうね。\呼んだらすぐに来ますよ…\ふふっ…
sc467_spa_5	あなたはフリンスと似ていますね。\なんとなく…放っておけないところですかね？\ふふっ…
sc467_spa_max	あなたを助けたのは\借りを返すためではありません。\あなたが友達だからです。
sc468_spa_1	熱い…\みんな変よ。\なんでお湯に入りたがるの？
sc468_spa_2	ネフティスといっしょならポカポカする。\他のチャイルドと仲良くなるのも悪くないね…
sc468_spa_3	ほらね。\悪魔は心を読まなくても顔でわかるよ。\…おもしろい。
sc468_spa_4	最初はダメな悪魔だと思ったけど\今はチャイルドを大切にする\いい主人だって思ってるの。\…ありがとう。
sc468_spa_5	心が汚れた人が来たら私が止めるから。\だから安心して。
sc468_spa_max	あなたの努力が認められなくても\心配しないで。\私はぜんぶ知ってるから。
sc469_spa_1	リハーサルで疲れたときは\やっぱり温泉だねっ！
sc469_spa_2	アイドルにとって大切なのはねっ！\あきらめないハートと\ファンへの感謝の気持ちだよ！
sc469_spa_3	えいっえいっ！\あっ、マスター！\いまね、水の上にサインする練習してるの！\いつか有名になれたら使えるかって思って！
sc469_spa_4	マスターがいつか魔王になったとき\アリアも魔界のナンバーワンアイドルに\なれたらスゴくないっ！
sc469_spa_5	努力は裏切らないよ！\だからマスターも…\もっとがんばって最高のマネージャーに\なりませんか？
sc469_spa_max	アリアのマネージャーになったマスターと一緒に\魔界中のコンサートホールを支配するの！\ワクワクするでしょっ！
sc470_spa_1	もう水なんて怖くありませんっ！
sc470_spa_2	ときどき思うんです…\一番最初に熱い温泉に入った人間って…\なんで入ろうと思ったんでしょう？
sc470_spa_3	水泳を習いに行ったことがあります。\私が泳げな…いから…\な…なんでもありませんっ！
sc470_spa_4	がんばることはいいことです。\昨日より今日、今日より明日は成長できるから…
sc470_spa_5	あ、悪魔さんが観てないコンサートなんて\考えたくもありませ～ん！
sc470_spa_max	時間がかかってもあきらめずに\トップアイドルを目指します。\手伝ってくれますよね？
sc471_spa_1	うわ～っ！\ちょっと待って！\入ってこないで！
sc471_spa_2	プリティ～スウィ～ティ～デビセクシ～★\どう？\アンタも私のプチデビにならない？
sc471_spa_3	今日もストレッチのあとは…\ボイトレと振り入れ…\それから私の新しいチャームポイントを…\えっ！いつから見てたの！？
sc471_spa_4	アイドルに必要なもの？\えっと～\アリアなら個性とスマイルって言うんじゃない？
sc471_spa_5	正式にプラネットパーティーのマネージャーになったらどう？\マエストロと分担すれば\もっと楽になるはずよっ！
sc471_spa_max	世界を支配するアイドルなんていいわねっ！\アンタが一緒にいてくれたら…\絶対なれるわ。
sc472_spa_1	あ～\温泉はあったかいのぉ～\溶けてしまいそうじゃ。
sc472_spa_2	我が昼寝をしていると、ネプチューンが\鬼のように邪魔するんじゃがのぉ…\なにか打つ手はないものか…\ううう…
sc472_spa_3	最近プラネットパーティーの仲が\すごく良くなったようじゃ。\おぬしのおかげでもある。\ありがとな。
sc472_spa_4	このごろ自分が悪魔だということを\忘れてしまう。\アイドルの影響が大きいようじゃ…\嫌ではないがな。
sc472_spa_5	かわいいメンバーたちの成長ぶりを見ると\ほほえましいのぉ～\だからな…\メンバーをたぶらかすヤツがいたら\タダではすまさんぞ。
sc472_spa_max	いつかは魔界に帰ると思うと、\妙な気分になる。\ようするに、人間界やおぬしに\まだ未練があるということじゃのぉ…
sc473_spa_1	ぽっかぽかで気持ちい～っ！\うふっ、どうしたんですか～っ？\うらやましいんでしょ～？
sc473_spa_2	もう帰っちゃうんですか？\あっわかった！\魔王争奪戦が怖くて\逃げようとしてたんでしょ～？
sc473_spa_3	こんなにゆっくりしててもいいのかな～？\どうやって恩返ししよう？\えっ？\なんで不安な顔してるんですか？
sc473_spa_4	ダマっているのは体によくないですよ。\悩みがあるなら相談してくださいっ！\なんでも聞いてあげますよっ！
sc473_spa_5	世間知らずでごめんなさい。\悪魔さんの助けになりたいんです。\あたしの気持ちわかりますか？
sc473_spa_max	心配しなくても大丈夫ですっ！\あたしは悪魔さんのためだけの\勝利の妖精なんですからっ！
sc474_spa_1	のぼせたのなら…\さっさと出ればいいだろ…
sc474_spa_2	どうした？\鍛冶屋に火傷はつきものだぞ。\このくらいなら勲章と呼ぶべきだな。
sc474_spa_3	なぜ鍛冶屋になったかだと？\理由など考えたこともない。\遠い昔の話だ。
sc474_spa_4	窯で溶かした鉄を槌で鍛えると火花が上がる。\まさに芸術だ…\お前にもわかるか？
sc474_spa_5	生ある物には、みな火種があるはずだ。\創造主の残した火種がな。
sc474_spa_max	お前の中の火種を消すな。\永遠に消えない炎となれ。\あたしが薪をくべてやる。
sc475_spa_1	気持ちいい…\このまま、うたた寝しそうです…\絶対に起こしてくださいね…
sc475_spa_2	温泉は健康によいと聞いたことがあります。\だから一日中、温泉に浸かっていたのですが\のぼせて、めまいがしました。\ふふふっ。
sc475_spa_3	気になる新人アイドルですか？\プラネットパーティーには私たちだけの魅力が\あります。\だから、他のアイドルは気にしません。
sc475_spa_4	あなたは自分自身をとても低く評価するくせが\あります。\あなたは立派だと思います。\もっと自信を持ちましょう。
sc475_spa_5	もっと広いホールでコンサートをしたいです。\あなたが協力してくださるなら\その夢が叶う気がします。
sc475_spa_max	どうかプラネットパーティーを導いてください。\悪魔さんなら必ず良い方向に導いてくれると\思います。
sc476_spa_1	このまま夜まで一緒にいても怒りませんよねっ？\うっふふっ、冗談ですよ。
sc476_spa_2	ご主人さま～こっちにきてくださ～いっ！\みんなでおしゃべりして\楽しい思い出を作りましょう～！
sc476_spa_3	いつか、私の契約者とメティスの契約者と\一緒に温泉楽しめたらいいですねっ！
sc476_spa_4	ご主人さま～\悪魔って人間と付き合えるんですかぁ～？\私の契約者はいかがですかぁ～？\あっ、ちょっと～！\逃げないでくださ～いっ！
sc476_spa_5	魔王争奪戦がどれくらい大変なのか\まだよく分かりませんが…\ご主人さまが魔王になれるように\がんばりますねっ！
sc476_spa_max	ツラい時はいつでも呼んでくださいねっ！\私がご主人さまの力になりますから！
sc479_spa_1	こんなに温泉でのんびりするなんて…\初めてね…
sc479_spa_2	本当に何時間ものんびりするつもりなの？\練習する時間がなくなるじゃないっ？
sc479_spa_3	何かいかがわしいことを\考えてるんじゃないでしょうね？\じゃなきゃ…\こんなにいい温泉に何度も来るわけ…
sc479_spa_4	温泉のついでにストレッチはどう？\効率的に疲れがとれるわよ。
sc479_spa_5	私にもこんな余裕が必要だったのかもね。\ありがとう。\気づかせてくれて。
sc479_spa_max	あなたは必ず魔王になるのよ。\最高のチャイルドである\この私がついてるんだから問題ないわ。
sc480_spa_1	うわぁ～っ！\こんな温泉初めてです！\いっしょに入りますよね？
sc480_spa_2	うえ～ん！もう帰るんですか～？\もう少しゆっくりしましょうよ～！
sc480_spa_3	あっ…温泉に入浴剤いれようと思って\いっぱい買ってきたのに…忘れちゃった…\取ってきてもらえますか？\えへへっ！
sc480_spa_4	いつもこんなにいい温泉に\つれてきてくれるなんて…\もしかして…\私にホレちゃいましたか～？\あははっ！
sc480_spa_5	あっ、ちょっと待ってください！\先に出ちゃうんですか～！？\もう少しおしゃべりしましょっ！
sc480_spa_max	悪魔様ってホント最高の悪魔ですっ！\じゃなきゃ、こんなにいい温泉\つれてきてくれませんからねっ！\えへへっ！
sc481_spa_1	ふぅ、気持ちいい。\このような温泉を見つけるとは、勲章ものだな。
sc481_spa_2	おい、ニンジン悪魔。\あたしのグレネードランチャーは近くに置け。\温泉だからといって油断するなよ。
sc481_spa_3	どこであろうと戦場になりうるのだ。\温泉も例外ではない。
sc481_spa_4	貴君のサキュバスが契約を督促するのが\そんなにイヤか？\戦友が増えるのはうれしいことだろ？
sc481_spa_5	キツいなら私を頼れ、ニンジン悪魔。\戦友である貴君のためなら命がけで戦おう。
sc481_spa_max	ニンジン悪魔よ、あたしを信じろ。\貴君の行く手を阻むものは\グレネードランチャーで吹き飛ばしてやるぞ。\はっはっはっ！
sc482_spa_1	なんで温泉には魚がいないんですか？\魚だって温泉は体にいいはず…\えっ！？\料理にして食べちゃったんですか？
sc482_spa_2	ご主人さま、これを見てください。\温泉に落ちた木の葉がくるくる踊ってます！
sc482_spa_3	たった今…\拓郎の声が聞こえた気がしたんですが\気のせいでしょうか？\気のせいですよね。\気のせいって言ってください。
sc482_spa_4	ご主人さまが魔王になれたら\何でもできるようになるんですか？\それなら真冬に雪じゃなくて\アイスクリームを降らせてくださいっ！
sc482_spa_5	戦うのは自信ないけど、ツラくても\あきらめたくありません。\だから、ご主人さまもがんばってください！
sc482_spa_max	ご主人さまのあとを\ちゃんとついていきますね。\ご主人さまの背中はわたしに任せてくださいっ！
sc483_spa_1	あら、なかなかいい露天風呂ねぇ。
sc483_spa_2	露天風呂って見晴らしがいいけど\スナイパーに狙われやすいわね。
sc483_spa_3	悪魔。\戦闘には休息は必要なの。\休めるときはゆっくり休みなさい。\戦闘に終わりはないのよ。
sc483_spa_4	強い兵士には何が必要なのか、わかる？\それは知略。\あなたが勝利の鍵って意味よ。
sc483_spa_5	武力と知力より大事なのは仁徳よ。\あなたは見込みありそうね。
sc483_spa_max	黙って、あたしについてきなさい。\必ず勝たせてあげるわ。
sc485_spa_1	あまり気を使わないで。\見返りなんてないから。
sc485_spa_2	ユーナはあなたに会えてうれしそうだけど\私は何も期待してないから。
sc485_spa_3	まだいたの？\私と一緒にいても、おもしろくないわよ…
sc485_spa_4	私はユーナの心の奥に溜まった水たまりよ。\少しずつ腐っているのよ。
sc485_spa_5	私の願いはユーナの幸せだけ。\それが叶えば私の役目は終わりよ。
sc485_spa_max	変わったと思ったけど…\あなたはまだ、そのままなのね。\私はこんなに変わってしまったけど…
sc486_spa_1	温泉って意外とぬるいんだねぇ。\もっと熱くならないのかい？
sc486_spa_2	おいおい。\何をぼんやり突っ立ってるんだい？\その小汚い体を、さっさと洗っておいで。
sc486_spa_3	くつろいでいる場合ではないというのに…\ははっ！\ま、生意気なところも悪くないな。
sc486_spa_4	戦い方も知らないガキ悪魔が復讐するだと？\ははっ！\やはり長生きはするもんだねぇ。
sc486_spa_5	青臭い小僧どもに私が負けるとは…\だがねぇ、いい経験になったよ。\復讐心は魔力の源ってわけだ。
sc486_spa_max	私はねぇ、お前の未来に期待しているんだ。\必ず生き残れよ。\魔王争奪戦が終わったら、お前を祝ってやる。
sc488_spa_1	湯船に浸かりながら食べられる物ってないの～？
sc488_spa_2	今、大事なこと考えてるから話しかけないで…\フライドチキンにしようかな…？\ハンバーガーもおいしそうだし…\ピザだって…
sc488_spa_3	やっぱりジャガイモって世界で一番おいしい。\揚げてもおいしいし、ゆでてもおいしいなんて！
sc488_spa_4	なんでそんなに悩んでるの…？\やりたいことやればいいじゃない。
sc488_spa_5	悪魔がわたしを見て、ため息ついてること、\私が知らないとでも思った～？\わたしだって…悪魔のこと考えてるのよ…
sc488_spa_max	主人だからって上から命令しないでね～\かわいく頼んでくれたら\わたしだって手伝ってあげるからっ！
sc489_spa_1	こんな狭い温泉は初めてだな…\ふふっ。\ま、どうでもいいけどね。
sc489_spa_2	はぁ…飽きちゃったね。\なにか面白いことやってよ。\その代わり、願いごとをひとつ\叶えてあげるからさ。
sc489_spa_3	いつも友達を連れてるんだね。\うらやましいな～\僕の友達はみんな変なヤツばっかりなんだ…
sc489_spa_4	僕が君を不幸にしたって思ってるの？\ははっ。\君は生まれたときから不幸だったんだよ。\僕は気づかせてあげただけだよ。
sc489_spa_5	悪魔の食べ物は、人間の欲望なんだ。\だから悪魔は永遠に満足できないのかも\しれないね。
sc489_spa_max	いつまで君を困らせるつもりなのかって？\そうだね…\君がひからびて、しわくちゃになるまでかな？\あはははっ！
sc493_spa_1	地球は珍しいものばかりだな。\おい、何をする？\背中を向けろだと？
sc493_spa_2	戦時中にこんな場所でくつろげるとは…\驚いたな。
sc493_spa_3	我が帝国にも、温泉というものを\作らねばなるまい。\実に温かい。
sc493_spa_4	戦争など御免だ。\だが、飢えた民と母上を救うためには\仕方がないのだ。\貴公も同じではなかろうか？
sc493_spa_5	プテナに帰るまでは、\貴公のために最善を尽くそう。\貴公は魔王となり、余は国を建て直すのだ。
sc493_spa_max	かたじけない。\この恩は必ず返そう。\プテナ王家の名にかけて約束しよう。
sc494_spa_1	ふふんふんふ～ん♪\あらっ、いけない。つい鼻歌を…\これが地球の温泉というものなんですね。
sc494_spa_2	プテナにもこんな温泉がありました…\香りも似ていますので\プテナが懐かしくなりますね…
sc494_spa_3	毎晩、皇帝陛下の夢を見ます…\ああ、陛下…
sc494_spa_4	メシエも温泉に来たことがあるのですか？\いっしょに入りたかったのですが…
sc494_spa_5	プテナに帰ったら、地球が懐かしくなりますね。\うっふふっ…もちろん、あなたのことも。
sc494_spa_max	ありがとうございます。\私を温泉につれてきてくれるなんて…\あなたってとってもやさしいのですね。
sc495_spa_1	いいところに連れてくって言ってたのに\ダマしたわねっ！\わたしのこと…\ゆでて食べちゃうつもりでしょっ！
sc495_spa_2	ご、ごしゅじ～ん…\いつまで入ってるの～？\ずっとお湯に浸かってるなんて変だよ～
sc495_spa_3	うっふ～ん。\わたしも温泉に慣れてきたよ。\もう少しいてもいいよ、ご主人。
sc495_spa_4	ご主人のおかげでシルクとポピーが\幸せになれたね。\だから、わたしもご主人のことを\幸せにするねっ！
sc495_spa_5	ご主人ってハートが弱いし\ぜんぜん悪魔らしくないね。\だから～わたしがご主人のハートも\守ってあげるねっ！\ふふっ。
sc495_spa_max	ご主人、ホントにホントにホント～に\ヤバいときはわたしに話して。\いっしょに遠くまで逃げよう！\ねっ！
sc496_spa_1	ご主人さま！\ここってホントにステキなプールですねっ！\えっ！？\泳いじゃダメなんですか～？
sc496_spa_2	温泉っていいところですね！\心と体があったかくなって\なんだかいやされます。
sc496_spa_3	こんなにいい温泉を私たちだけで\使っちゃダメです！\もっとたくさんの人間に広めて…\あっ、人間に教えちゃダメですね…
sc496_spa_4	ご主人さま、私といっしょに人間界を旅しながら\人間を助けるのはどうですか？\えっ、なんで耳をふさぐんですか～？
sc496_spa_5	ご主人さまの夢って何ですか？\教えてくださ～い！\そうすれば…私がご主人さまの夢を\叶えてあげますから～
sc496_spa_max	ねぇねぇ、ご主人さま～\困ったことがあったら\まず私に話してくださいね。\助けになりますから。
sc497_spa_1	こんなサプライズがあるなんて、\知らなかったわ。\お礼にあなたの願いを聞いてあげる。\どんな姿にしてほしい～？
sc497_spa_2	こんなところでゆっくりしてる時間はないわ。\研究することが山のように残ってるの。
sc497_spa_3	ここが噂の天国ってヤツね～ふふっ、冗談よ。\でも人間の想像した天国を\一度でいいから見てみたいわ。
sc497_spa_4	たくさんの錬金術に関する資料を読み漁ったけど\真理の核心に迫るものは何一つなかったわ。
sc497_spa_5	一瞬の隙にメトセラに噛まれちゃったわ～\鈍い牙でね…
sc497_spa_max	私たちは盲目の蛇よ。\だから自分の尻尾を噛んじゃったの。\ホントに皮肉な運命でしょ？
sc498_spa_1	温泉か。…もう少し熱い湯が好みだがな。\ま、たまには悪くねぇ。
sc498_spa_2	魔王争奪戦…？\肩慣らしにはちょうどいいかもな。
sc498_spa_3	どうした坊主。入らねぇのか？
sc498_spa_4	俺はそろそろ上がるぞ。\…なんだ、お前も出るのか？
sc498_spa_5	めんどくせぇ…\ま、ついでだ。気が済むまで付き合ってやる。
sc498_spa_max	ツーリングは好きか？\サイドカーなら乗せてやる。
sc499_spa_1	こんな気持ちになれる場所、はじめて。
sc499_spa_2	あたたかい…とても居心地のいい場所。
sc499_spa_3	人には休息が必要。一緒に休憩しよう。
sc499_spa_4	どうして魔王になりたいの？教えて。
sc499_spa_5	私のために、ここを教えてくれたの？\…ありがとう、とてもいい場所だよ。
sc499_spa_max	ここにはダビにモナ、リザもいる。\寂しいけど寂しくないよ。
sc500_spa_1	こんなにゆっくり過ごせるなんて…\たまには悪くないわ。
sc500_spa_2	髪は女の命よ。大事にしないとね。
sc500_spa_3	そこでずっと見てるつもり？後悔するわよ。
sc500_spa_4	ここの評価？\…まずまずってところね。及第点かしら。
sc500_spa_5	あら、のぼせちゃった？\顔がずいぶん赤いようだけれど。
sc500_spa_max	元の世界に帰るまで…\ここでちょっとだけくつろぐのも悪くないわね。
sc501_spa_1	こんなぬるま湯でいいのか？\これなら地獄の業火にあたった方がマシだ。
sc501_spa_2	どいつもこいつも、\涅槃の境地に至ろうと必死だな…\娑婆が極楽そのものなのに…
sc501_spa_3	永遠のものなんてこの世にない。\だから今を楽しまないと。
sc501_spa_4	おまえは自分をどんな存在だと思ってんだ？\おまえの心の中にある、\まことは何かって聞いてんだよ。
sc501_spa_5	衆生よ、おまえはどこで生まれ、\どこに向かってるか知ってるか？\その答えを探すことが生きるってことだ。
sc501_spa_max	怒りを捨てろ。\過剰に嬉しがったり、悲しんだりもするな。\ただひたすらに、おまえの生(しょう)を哀れめ。
sc502_spa_1	はぁ～ホントにありがとうございます。\これが俗に言う、休暇を取るってやつですね。
sc502_spa_2	先生もここにいるはずなんですが…\私の代わりに探して来てくれませんか？\私はもうちょっとゆっくりしたいので…へへっ…
sc502_spa_3	毎日お祈りと鍛錬を欠かさなければ、\先生の足元くらいには到達できますかね？\それだけでも十分です。
sc502_spa_4	万事には時というものがあります。\季節が巡り、花が咲き、\やがて散っていくように。\あなたにもいつか花開く時が訪れますよ。
sc502_spa_5	淀んだ水は腐りますし、\風が吹かなければ花は咲きません。\躊躇せずに、一歩踏み出してみてください。
sc502_spa_max	お手伝いできることがあれば、\いつでも言ってくださいね。\きっとお役に立てると思いますよ～！
sc503_spa_1	ここは心と体の安息の地。\まるで天界の楽園のようです。
sc503_spa_2	龍脈の地気を感じます。\この温泉に浸かると\体内の気の流れが円滑になるのです。
sc503_spa_3	もっと長く明堂の気を留めたいのですか？\ふふっ…\でしたら、わたくしをお呼びください。
sc503_spa_4	良い気を呼び込むためには陰陽の調和が\必要です。\わたくしと共に温泉に入れば\調和が取れるでしょう。
sc503_spa_5	風による地気の乱れが心配です。\ご命令とあらば\わたくしが風を防ぎましょう。
sc503_spa_max	わたくしが貴方様に出会えたのも運命でしょう。\魔王になられたら\倫子様の情報をお伝えしますわ。
sc504_spa_1	え～っ！\こんなにいい場所を今まで\ひとりじめしてたの？
sc504_spa_2	なんだかぬるいわね。\もう少し温度あげてくれる？\…ねぇ、ちょっと。\今、私が弱いからって無視してたでしょ？
sc504_spa_3	この温泉、どこの人間から聞いたの？\教えてくれたっていいじゃない。
sc504_spa_4	魔王争奪戦がイヤならあなたも逃げたら\いいじゃない。\悪魔にしては責任感が強いのね。
sc504_spa_5	悪魔と友達になれたのは初めてよ。\人間界に来る前にあなたに会っていたら\どうなっていたのかしら。
sc504_spa_max	あなたも私と同じくらい繊細な心を\持ってるのね。\あなたみたいな優しい悪魔が魔王になれること\願ってるわ。
