// key	CHAT_SPA_
sc001_spa_1	Pfiou... Il faut prendre soin de soi ♥
sc470_spa_1	Je n'ai plus peur de l'eau !
sc470_spa_2	Des fois, je me demande à quoi ont pu penser les \premiers humains qui ont découvert des \sources chaudes et décidé de sauter dedans !
sc470_spa_3	J'ai bien essayé d'apprendre à nager, \mais rien à faire... Je ne sais pas nager, alors... \Ah, laissez tomber !
sc470_spa_4	L'avantage de travailler dur, c'est \qu'on peut constamment s'améliorer d'un jour sur l'autre.
sc470_spa_5	Je n'ose même pas imaginer faire un spectacle \auquel tu n'assisterais pas, M. Démon !
sc470_spa_max	Je veux être la meilleure des pop stars,\ peu importe le temps que ça me prendra ! \Tu m'aideras, dis ?
sc471_spa_1	Non, non ! Cet endroit-là n'est pas encore accessible.\Ce serait dommage de gâcher le mystère.
sc471_spa_2	Jolie, mimi, diablo-sexy ! Ça sonne bien, non ?\Est-ce que ça te dirait de devenir mon diablo-mimi ?
sc471_spa_3	Comme d'habitude, je vais m'étirer, m'échauffer la voix, répéter mes pas de danse,\puis travailler sur mon charme... Ah ! Depuis combien de temps est-ce que tu m'observes ?
sc471_spa_4	Comment une pop star reste au sommet ? Hm, Aria te dirait sans doute\qu'il faut être unique et avoir un joli sourire.
sc471_spa_5	Pourquoi ne pas nous rejoindre ? Tu pourrais partager le travail de Maestro.\Qu'est-ce que tu en dis ?
sc471_spa_max	C'est peut-être ridicule,\mais je veux conquérir le monde avec notre musique. Et ensemble, je sais qu'on peut y arriver.
sc472_spa_1	Aaah, \ce que c'est relaxant de se prélasser dans ces sources… \Je pourrais y rester toute ma vie, je crois.
sc472_spa_2	Tu sais, à chaque fois que je fais la sieste, \Neptune♥ me tombe dessus. \Je dois pouvoir faire quelque chose... \*soupir*
sc472_spa_3	Tous les membres de Planet Party \s'entendent à merveille, ces derniers temps, \et c'est en partie grâce à vous \alors merci.
sc472_spa_4	Ces temps-ci, j'ai tendance à oublier que je suis une démone. \Ça doit être la force d'attraction des pop stars… \Je ne me plains pas, hein !
sc472_spa_5	Je trouve craquant de \voir toutes ces jolies filles embellir de jour en jour. \D'ailleurs, si quelqu'un \essaie de profiter d'elles, \il aura affaire à moi !
sc472_spa_max	Je suis mitigée \quand je pense à retourner au Royaume infernal. \Je crois que je suis encore un peu accro \à toi et au Royaume des mortels...
sc473_spa_1	Hmm, c'est si relaxant ! Merveilleux ! Quoi ?\C'est de la jalousie que je vois ?
sc473_spa_2	Pourquoi partir si soudainement ? Laissez-moi deviner.\Hmm... Vous avez essayé de vous enfuir au début du concours, car vous aviez peur, pas vrai ?
sc473_spa_3	Je ne suis pas certaine de mériter tant de luxe.\Comment vous remercier ? Hmm... Pourquoi est-ce que vous avez l'air inquiet tout à coup ?
sc473_spa_4	Vous ne devriez pas réprimer vos émotions.\N'hésitez pas à me parler, je suis douée pour écouter les autres.
sc473_spa_5	Je suis désolée de m'être comportée comme une enfant. Mais je veux\vous aider. S'il vous plaît, laissez-moi vous aider.
sc473_spa_max	Oubliez vos soucis et comptez sur moi.\Je suis un véritable porte-bonheur !
sc474_spa_1	Si nous n'avons rien à nous dire,\laisse-moi tranquille.
sc474_spa_2	Ces cicatrices ? Ce n'est rien.\Tu devrais voir les autres forgerons,\ils en ont bien plus encore.
sc474_spa_3	Pourquoi est-ce que je suis devenue forgeron ?\Je ne sais pas, je n'y ai jamais réfléchis.\C'était il y a longtemps...\Ça n'a plus vraiment d'importance à présent.
sc474_spa_4	Je ne me lasserai jamais des étincelles,\qui volent lorsque je frappe du métal incandescent.\Mais tu ne peux pas comprendre, je me trompe ?
sc474_spa_5	Tu penses que les démons ne peuvent pas être des créateurs ?\Je pense que l'étincelle\se trouve en chaque être vivant.\je peux voir la tienne.
sc474_spa_max	N'essaye pas d'étouffer ton étincelle.\Laisse-la briller et\embraser ton feu intérieur.
sc475_spa_1	Je suis tellement détendue que je pourrais m'endormir. Si vous me voyez flotter dans l'eau,\il faut m'en sortir.
sc475_spa_2	J'ai entendu dire que les bains chauds étaient bons pour la santé,\alors une fois, je suis restée dans la baignoire jusqu'à ce que je m'évanouisse presque. Ha ha !
sc475_spa_3	Une rivalité potentielle ?\Je n'ai pas peur d'un peu de la compétition. Ce que l'on a, personne d'autre l'a.
sc475_spa_4	Vous vous sous-estimez, parfois.\Vous ne devriez pas, vous valez bien plus que vous ne le croyez.
sc475_spa_5	Je veux chanter sur une plus grande scène.\Peut-être qu'avec un petit coup de main...
sc475_spa_max	Menez-nous avec confiance.\On a confiance en vous, Messire Démon.
sc476_spa_1	J'espère que tu ne te fâcheras pas si je reste ici toute la journée.\Ha ha... Je te taquine.
sc476_spa_2	Maître, ne reste pas dans ton coin et viens ici.\Parlons un peu, c'est le moment de créer de beaux souvenirs.
sc476_spa_3	Un jour, j'adorerai amener nos passeuses de pacte à Métis et à moi\pour profiter d'un bon bain ensemble.
sc476_spa_4	Démon, est-ce que les démons et les humains sont compatibles ?\Alors, est-ce que tu aimerais sortir avec ma passeuse de pacte ? Oh, ne t'enfuis pas !
sc476_spa_5	Je ne sais pas à quel point le concours du Roi des démons est difficile,\mais je ferai de mon mieux pour t'aider à le gagner.
sc476_spa_max	Appelle-moi si tu as besoin de moi pour quoi que ce soit.\Je serai là pour t'aider.
sc479_spa_1	Je n'ai jamais perdu de temps dans un endroit comme celui-ci.
sc479_spa_2	Les gens restent vraiment ici pendant des heures ?\Mais quand est-ce qu'ils s'entraînent ?
sc479_spa_3	Qu'est-ce que tu mijotes ?\Pourquoi est-ce que tu n'arrêtes pas de m'emmener aux sources chaudes ?
sc479_spa_4	J'ai appris des techniques d'étirement\pour tirer le maximum des sources chaudes.
sc479_spa_5	J'avais peut-être besoin de me détendre un peu.\Merci de m'avoir emmenée, c'était vraiment gentil.
sc479_spa_max	Tu seras Roi des démons. J'y veillerai.\Je refuse de me contenter du minimum.
sc480_spa_1	Ouah ! C'est la première fois que je viens dans un endroit aussi sympa !\Ça te dit de venir me rejoindre ?
sc480_spa_2	On part déjà ? Oh...\On ne peut pas rester encore un peu ?
sc480_spa_3	Ah, j'ai acheté tout un tas de sels pour les sources chaudes,\j'avais complètement oublié. Tu veux bien me les apporter ? Hi hi.
sc480_spa_4	Tu n'arrêtes pas de m'emmener aux sources chaudes.\Tu n'as pas d'arrière-pensées, si ? Hi hi.
sc480_spa_5	Hé, attends ! Tu ne vas quand même pas me laisser toute seule, si ?\Allez, reste encore un peu.
sc480_spa_max	Tu dois être le meilleur démon du monde.\Comment est-ce que tu connaîtrais ces sources chaudes merveilleuses, sinon ? Hi hi !
sc481_spa_1	Ah, c'est exactement ce qu'il me fallait ! Je te félicite, pour une fois.
sc481_spa_2	Hé, Carotte. Ne t'éloigne pas de mon lance-grenades.\Même dans les sources chaudes, on n'est pas à l'abri d'une attaque ennemie.
sc481_spa_3	Tout est un champ de bataille potentiel.\Même des sources chaudes relaxantes.
sc481_spa_4	Pourquoi est-ce que tu n'aimes pas que tes succubes te demandent de conclure des pactes ?\Tu ne veux pas avoir plus de camarades ?
sc481_spa_5	Tu pourras toujours compter sur moi, Carotte. On est camarades.\Je mourrais pour toi.
sc481_spa_max	Maintenant que tu t'es reposé, on retourne combattre !
sc482_spa_1	Pourquoi est-ce qu'il n'y a pas de poissons dans les sources chaudes ? L'eau n'est pas bonne pour eux ?\... Hein ? Elle les ferait cuire ?
sc482_spa_2	Maître, là ! Deux feuilles sont tombées sur l'eau,\on dirait qu'elles dansent !
sc482_spa_3	Ce bruit... On aurait dit la voix de Takuro, non ?\Non, j'ai dû rêver. Pitié, dites-moi que j'ai rêvé.
sc482_spa_4	Quand tu seras Roi des démons, tu pourras faire tout ce que tu veux ?\Tu voudras bien remplacer la neige par de la crème glacée ?
sc482_spa_5	Je manque de confiance en moi en combat, mais je n'abandonnerai jamais.\Tu ne devrais pas non plus, Maître.
sc482_spa_max	Ouvre la voie, Maître.\Je ferme la marche.
sc483_spa_1	Ouah. Ce bain en extérieur est pas mal du tout.
sc483_spa_2	Faire le canard dans un bain en extérieur c'est cool,\mais tu deviens une proie facile pour les snipers.
sc483_spa_3	Démon.\Pour se battre, il faut se reposer.\Lorsque tu te reposes, fais-le correctement,\car les combats ne s'arrêtent jamais.
sc483_spa_4	Tu sais de quoi tu as besoin pour devenir un puissant soldat ?\D'ingéniosité.\Ce sera la clé de la victoire.
sc483_spa_5	La bienveillance est plus importante que la puissance militaire ou que l'intellect.\Tu as un vrai potentiel.
sc483_spa_max	Tais-toi et suis-moi.\Je vais assurer ta victoire.
sc485_spa_1	Ne t'embête pas avec moi.\Tu n'obtiendras rien en retour.
sc485_spa_2	Yuna a l'air heureuse de t'avoir rencontrée.\Je n'attends rien de toi en revanche.
sc485_spa_3	Toujours là ?\C'est pas en restant proche de moi que tu vas t'amuser.
sc485_spa_4	Je suis comme un virus dans la tête de Yuna.\J'attaque, doucement mais sûrement.
sc485_spa_5	J'aimerais que Yuna soit heureuse.\Si ce vœu est accordé, alors on n'aura plus besoin de moi.
sc485_spa_max	Je croyais que tu avais changé...\Mais j'imagine que tu es toujours le même.\Même si moi j'ai changé...
sc486_spa_1	C'est bizarre, cette source chaude est tiède.\C'est pas possible de la chauffer un peu ?
sc486_spa_2	Hé, toi.\Qu'est-ce que tu fais étourdi comme ça ?\Bouge-toi un peu.
sc486_spa_3	Ce n'est pas un temps pour flâner tu dis ?\Bahaha !\Ça m'est égal.
sc486_spa_4	Une revanche ? Vous, les petits démons, vous ne savez même pas vous battre !\Bahaha !\Vivre longtemps, ça a ses avantages.
sc486_spa_5	Je ne peux pas croire qu'une bande d'amateurs puisse me battre.\Mais c'était une bonne expérience, tu sais.\La revanche est la source du pouvoir magique.
sc486_spa_max	Crois-le ou non, je pense que tu as de l'avenir.\Lance-toi, tu m'entends ?\Je te féliciterai quand le concours du Roi des démons sera terminé.
sc488_spa_1	Tu as quelque chose à manger pendant que je fais trempette dans mon bain ?
sc488_spa_2	Ne me parle pas. Je réfléchis à quelque chose d'important.\Hmm... est-ce que je devrais choisir le poulet frit ? Un hamburger c'est pas mal non plus.\Puis y a la pizza aussi...
sc488_spa_3	Y a pas mieux que les patates dans la vie.\Frites ou à la vapeur, c'est toujours un délice !
sc488_spa_4	Qu'est-ce qui est si difficile ?\Si tu veux faire quelque chose, fais-le.
sc488_spa_5	Tu as vraiment cru que je n'allais jamais remarquer\tes soupirs lorsque tu me regardes ?\Moi aussi je fais attention à toi, tu sais.
sc488_spa_max	Ne me donne pas d'ordre simplement parce que tu es mon maître.\Même moi je t'aiderais\si tu le demandes gentiment !
sc489_spa_1	Je n'ai jamais vu un bassin aussi petit...\Enfin bref, peu importe.
sc489_spa_2	Ah... Je m'ennuie comme un rat mort. Distrais-moi, tu veux ?\En échange, j'exaucerai un de tes vœux.
sc489_spa_3	Tu es toujours avec tes amis. Je t'envie.\Tous mes amis sont bizarres.
sc489_spa_4	Tu trouves que j'ai été nul avec toi ? Ha ha. Désolé,\mais c'est toi qui es nul de naissance. Je n'ai fait que te le rappeler.
sc489_spa_5	Les démons se nourrissent des désirs humains.\C'est sûrement pour ça qu'on n'est jamais satisfaits.
sc489_spa_max	Si je vais encore t'embêter longtemps ?\Hm... Jusqu'à ce que tu sois totalement épuisé. Ha ha ha ha !
sc493_spa_1	Il y a tant de choses étranges sur Terre...\Hé, qu'est-ce que tu fais ? Retourne-toi.
sc493_spa_2	Profiter d'un tel luxe en temps de guerre...\C'est incroyable.
sc493_spa_3	À mon retour à Butena, il faudra que je me trouve des sources chaudes.\Il n'y a rien de plus relaxant.
sc493_spa_4	J'en ai marre de combattre, mais je dois protéger ma mère\et mon peuple affamé. Tu as des gens à protéger, toi aussi, non ?
sc493_spa_5	Je ferai de mon mieux pour t'aider jusqu'à mon retour à Butena.\Tu seras Roi des démons, et moi, je reprendrai mon empire.
sc493_spa_max	Merci. Je ne l'oublierai pas.\Je le jure sur mon titre royal.
sc494_spa_1	Hmm ha hooo hu hmm ! ♬ Je ne peux pas m'empêcher de fredonner.\Les sources chaudes de la Terre sont très agréables.
sc494_spa_2	Il y a des sources chaudes aussi à Butena.\Elles ont presque la même odeur. Butena me manque...
sc494_spa_3	Je pense à Sa Majesté tous les soirs.\Il me manque tellement, surtout quand je suis dans ce genre d'endroits.
sc494_spa_4	Messie est déjà venue ici ? Cette chaleur est drôlement agréable !\Si seulement elle était avec moi...
sc494_spa_5	Cet endroit me manquera à mon retour à Butena.\Ho ho ! Tu me manqueras aussi, bien sûr.
sc494_spa_max	Merci. Tu m'as prise sous ta protection quand je n'avais nulle part où aller.\Tu es si gentil...
sc495_spa_1	Tu avais dit que tu m'emmènerais dans un endroit sympa\mais tu m'as menti !\Qu'est-ce que tu veux faire ?\Tu vas me cuisiner pour me manger, c'est ça ?!
sc495_spa_2	Maîîîîître.\Ça fait combien de temps que tu es là ?\C'est bizarre de rester si longtemps dans l'eau bouillante.
sc495_spa_3	Héhé.\J'ai été habituée aux sources chaudes moi aussi/\Reste autant que tu veux, Maître !
sc495_spa_4	Maître, Silk et Poppy\ont trouvé le bonheur grâce à toi.\Alors je vais m'assurer\de ton bonheur à toi aussi !
sc495_spa_5	Tu n'as rien d'un démon, Maître.\Ton cœur est trop bon.\C'est pour ça que je vais m'assurer\de le protéger!\Hihi.
sc495_spa_max	Maître, je suis très très sérieuse à ce sujet.\Dis-moi quand tu seras en danger.\On s'enfuira ensemble, très loin !\D'accord ?!
sc496_spa_1	Maître !\Quelle piscine incroyable !\Quoi ?!\On ne peut pas nager dedans ?
sc496_spa_2	Les sources chaudes sont tellement agréables !\Elles réchauffent le corps et l'esprit.\Il y a quelque chose d'apaisant quand on s'y baigne.
sc496_spa_3	Ces sources chaudes sont trop géniales\pour les garder pour nous !\On devrait en parler à beaucoup d'humains... \Oh, on ne peut en parler aux humains, c'est ça ?
sc496_spa_4	Hé Maître, si on voyageait dans le Royaume des mortels tous les deux,\on aiderait les gens sur le chemin?\Hé, pourquoi tu te bouches les oreilles ?
sc496_spa_5	Tu as un rêve, Maître ?\C'est quoi ?!\Si tu m'en parles...\je le réaliserai.
sc496_spa_max	Écoute, Maître.\Si tu as le moindre problème,\viens m'en parler. D'accord ?\Je serai là pour t'aider.
sc497_spa_1	Quand est-ce que tu as préparé une activité aussi sympa ?\Bon, d'accord, tu veux quoi ? À quoi tu veux ressembler ?
sc497_spa_2	Je n'ai pas de temps à perdre dans un endroit pareil.\J'ai une montagne de cours à réviser.
sc497_spa_3	C'est le paradis ! Ha ha, je plaisante.\Mais j'aimerais beaucoup voir le paradis que les humains imaginent.
sc497_spa_4	J'ai lu des pages et des pages d'articles scientifiques,\mais tous ne faisaient qu'effleurer la vérité.
sc497_spa_5	Mathusalem m'a mordue quand j'avais la tête ailleurs.\Ha ha ! Ses crocs ne sont pas si émoussés.
sc497_spa_max	On n'est que des serpents aveugles. C'est pour ça\qu'on court après notre queue. C'est malsain, pas vrai ?
sc498_spa_1	Une source chaude ?\L'eau m'a l'air tiède, mais qui suis-je pour refuser une pause ?
sc498_spa_2	Un concours pour devenir roi des démons ? Parfait pour un échauffement.
sc498_spa_3	Que se passe-t-il, gamin ? Tu viens, ou pas ?
sc498_spa_4	Je crois que je vais pas tarder.\Tu vas sortir aussi ?
sc498_spa_5	Laisse-moi tranquille...\Bon allez, je suis le mouvement.
sc498_spa_max	Envie de faire un tour ?\Tu peux monter dans le side-car si tu veux.
sc499_spa_1	Une source chaude ?\L'eau m'a l'air tiède, mais qui suis-je pour refuser une pause ?
sc499_spa_2	Un concours pour devenir roi des démons ? Parfait pour un échauffement.
sc499_spa_3	Que se passe-t-il, gamin ? Tu viens, ou pas ?
sc499_spa_4	Je crois que je vais pas tarder.\Tu vas sortir aussi ?
sc499_spa_5	Laisse-moi tranquille...\Bon allez, je suis le mouvement.
sc499_spa_max	Envie de faire un tour ?\Tu peux monter dans le side-car si tu veux.
sc500_spa_1	Ce n'est pas si mal de faire une petite pause\de temps en temps.
sc500_spa_2	Les cheveux d'une femme sont son bien le plus précieux. Il faut en prendre bien soin.
sc500_spa_3	Vous allez me regarder longtemps comme ça ? Vous le regretterez.
sc500_spa_4	Vous voulez mon opinion sur cet endroit ?\Passable, voilà mon avis.
sc500_spa_5	Que s'est-il passé ? On est restés trop longtemps ? Votre visage est rouge tomate.
sc500_spa_max	Me reposer ici ne devrait pas me faire de mal...\Jusqu'à ce que je puisse rentrer, du moins.
sc501_spa_1	Es-tu sûr que c'est assez chaud ?\Laisse-moi utiliser mon feu pour le réchauffer encore un peu.
sc501_spa_2	Les gens désirent tellement atteindre le Nirvana qu'ils ne voient pas l'évidence.\Ils devraient savoir que le paradis se trouve sur Terre, et non dans les cieux !
sc501_spa_3	Rien n'est éternel,\alors profite du présent.
sc501_spa_4	Qui es-tu réellement, au fond ?\Qui se cache sous cette enveloppe extérieure ?
sc501_spa_5	Sais-tu d'où tu viens et où tu vas ?\Tu existes pour trouver réponse à ces questions.
sc501_spa_max	Oublie la colère. Ne te laisse pas submerger par la joie ou la tristesse.\Fais preuve de clémence envers toi-même.
sc502_spa_1	Pfiou, merci.\J'ai l'impression d'être en vacances.
sc502_spa_2	Je crois que ma professeure est là aussi. Tu pourrais aller la chercher ?\J'ai besoin de me reposer un peu...
sc502_spa_3	Si je continue à prier et à m'entraîner, j'aurai peut-être\la moitié de la puissance de ma professeure, non ? Ça me suffirait.
sc502_spa_4	Il y a un temps pour tout. Les fleurs éclosent et se fanent\au fil des saisons. Ton moment viendra aussi.
sc502_spa_5	Le fer inutilisé se rouille et l'eau stagnante perd sa pureté.\N'hésite pas à aller de l'avant.
sc502_spa_max	Appelle-moi si tu as besoin d'aide.\Je me montrerai utile.
sc503_spa_1	Un endroit pour reposer le corps et l'esprit.\J'ai l'impression d'être au paradis du Royaume des cieux.
sc503_spa_2	Je ressens de l'énergie venant des montagnes.\Cette énergie me traverse agréablement\quand je suis dans ces sources chaudes.
sc503_spa_3	Tu veux garder l'énergie de la terre un peu plus longtemps ?\Hé hé...\Si c'est le cas, appelle-moi.
sc503_spa_4	Les forces cosmiques opposées doivent être en harmonie\pour apporter une énergie positive.\On peut trouver cette harmonie\si tu viens dans les sources avec moi.
sc503_spa_5	Le vent perturbe l'énergie du sol\et ça m'inquiète.\Je peux le bloquer, si tu veux.
sc503_spa_max	Notre rencontre doit être un coup du destin.\Si tu deviens Roi des démons,\je te donnerai des informations sur Rinko.
sc504_spa_1	Une petite minute !\Tu avais un endroit aussi génial\depuis tout ce temps ?
sc504_spa_2	C'est tiède, non ?\Tu pourrais augmenter la température ?\Euh... Youhou ?\Tu m'ignores parce que je suis faible, c'est ça ?
sc504_spa_3	Qui est l'humain qui t'a parlé de ces sources chaudes ?\Allez, dis-le-moi.
sc504_spa_4	Tu devrais t'enfuir,\si le concours du Roi des démons t'effraie.\Mais bon, quel sens du devoir, pour un démon.
sc504_spa_5	C'est la première fois que je me lie d'amitié avec un démon.\Les choses auraient-elles été différentes\si je t'avais rencontré avant de venir au Royaume des mortels ?
sc504_spa_max	Ton cœur est tendre,\tout comme le mien.\J'espère vraiment qu'un gentil démon comme toi\deviendra Roi des démons.
sc505_spa_1	Ah ! Rien de mieux qu'un bon bain chaud après une course...\C'est parfait !
sc505_spa_2	Je vois que tu as des Childs plutôt athlétiques, Maître.\Et si on organisait un tournoi sportif avec eux ?
sc505_spa_3	Question pour toi, Maître ! Le guépard est l'animal le plus rapide.\Mais qui est le Child le plus rapide ?
sc505_spa_4	Maître, quand est-ce que tu vas devenir Roi des démons ? Hein ? Jamais ? Ne dis pas ça !
sc505_spa_5	J'adore vraiment courir. Après ça, ce que j'aime le plus,\c'est admirer les beaux paysages avec toi.
sc505_spa_max	Avec toi, je peux courir partout, même jusqu'aux confins du Royaume infernal...\Ou de l'univers ! Je sais que j'en suis capable !
sc506_spa_1	Tu es un bon maître,\merci de m'avoir amenée aux sources chaudes.
sc506_spa_2	J'aime courir parce que je peux profiter du paysage\et sentir la nature avec tout mon corps.
sc506_spa_3	Démon, les compétitions en groupe ne t'intéressent pas ?\Parfois, je veux courir avec plein de Childs.
sc506_spa_4	Démon, je veux que tu deviennes Roi des démons, mais ça n'a pas l'air de t'intéresser.\Bon, je vais devoir faire des efforts pour nous deux. Hé hé !
sc506_spa_5	J'aime bien quand tu fais l'arbitre. J'ai l'impression que tu m'accueilles à chaque fois que je passe la ligne d'arrivée.
sc506_spa_max	Suis le chemin auquel tu crois.\Je le paverai pour toi.
sc507_spa_1	De quoi ?\Tu as préparé ce bain rien que pour moi ?\Parce que tu sais, je préfère l'alcool.
sc507_spa_2	Ooh...\En vrai, c'est plutôt pas mal.\Mais ça donne soif.\Y aurait pas de l'eau pétillante bien fraîche ici ?
sc507_spa_3	Ahh... C'est si relaxant.\Mais j'ai la tête qui tourne un peu.\C'est ça, l'ivresse ?
sc507_spa_4	Je commence à prendre goût aux sources chaudes.\C'est toujours mieux que mon vieux temple.\Ha ha !
sc507_spa_5	Ah, ça fait du bien.\Il me faut un verre d'alcool pour couronner ça.\Tu veux boire un coup ?
sc507_spa_max	Mon corps était devenu vraiment tendu\à force de rester cloîtrée dans le temple.\Je me sens bien mieux. Merci !
sc508_spa_1	Quel est cet endroit ?\Je n'en avais jamais vu de tel.
sc508_spa_2	Qui es-tu, au juste ?\Pourquoi es-tu si aimable avec moi ?
sc508_spa_3	Un démon reste un démon.\Ma mission est de les exterminer jusqu'au dernier.\Sans exception.
sc508_spa_4	Devenir amie avec un démon ?\Si c'est une blague, elle est de mauvais goût.
sc508_spa_5	Ne fais pas de mal aux villageois.\Si tu tiens cette promesse...\Je ne te mettrai plus dans le même panier\que les autres démons.
sc508_spa_max	Ces sources chaudes sont un endroit bien mystérieux.\Même si tu n'étais pas là,\je protégerais cet endroit.
sc509_spa_1	Vlad m'a raconté une histoire drôle.\Hum... Je me rappelle que\tout le monde meurt à la fin.
sc509_spa_2	Deucalion avait d'innombrables secrets.\Et pourtant,\je n'ai jamais douté de lui.
sc509_spa_3	Je n'étais pas sortie du château depuis si longtemps.\Le monde semble si différent.\J'ai hâte de découvrir ce qui m'attend.
sc509_spa_4	L'élixir est une potion de jeunesse éternelle,\et le témoin d'une promesse\qui ne sera jamais brisée.
sc509_spa_5	Mon temps passé dans l'escouade de la mort semble si lointain.\Mais en vous rencontrant, j'ai l'impression\d'être revenue à cette époque.
sc509_spa_max	Je suis très heureuse de vous avoir rencontré.\Merci de m'avoir trouvée\alors que le temps m'avait oubliée.
sc510_spa_1	Tu t'attendais à un cadeau ou un truc du genre ?\Désolée de te le dire, mais je suis fauchée.
sc510_spa_2	Les sources chaudes sont plutôt brûlantes, non ?\Tiens, va me chercher une bière bien fraîche.
sc510_spa_3	Pourquoi cette tête d'enterrement ?\On dirait un cadavre.
sc510_spa_4	Tu veux que je t'exprime ma reconnaissance ?\C'est dans mes cordes... Merci.
sc510_spa_5	Si tu comptes tenir jusqu'au bout, prépare-toi.\Si tu n'y mets pas tout ton cœur,\ta survie ne sera qu'une question de chance.
sc510_spa_max	Vampires, démons, humains...\C'est la même chose pour moi,\alors pas la peine de s'attarder là-dessus.
sc511_spa_1	Vous avez préparé tout ça pour moi ?
sc511_spa_2	Cet endroit n'est pas dangereux, pas vrai ?\Oh, ce n'est pas que je vous fais pas confiance,\M. Démon.
sc511_spa_3	Hmm... C'est vraiment très agréable, mais...\Je me demande si je devrais vraiment me reposer ici.
sc511_spa_4	Si seulement Turan était là, aussi...\Oh, j'espère que vous n'avez pas cru\que je me plaignais.
sc511_spa_5	Je peux vraiment me relaxer dans ces sources chaudes ?\Merci beaucoup de m'avoir amenée ici.
sc511_spa_max	Turan m'attend, je dois y aller.\Désolée.
sc512_spa_1	Ouah, sympa comme endroit.\Les humains viennent ici, aussi ?
sc512_spa_2	Ahh... C'est si chaud et si agréable.\J'aimerais pouvoir me relaxer ici avec lui.
sc512_spa_3	Je n'ai pas besoin que mes sentiments soient réciproques.\Je suis juste heureuse de le voir.
sc512_spa_4	C'est mon premier amour. Et c'est un humain, mais...\Je l'aime de tout mon cœur.
sc512_spa_5	Philotes a toujours été ma source de courage.\C'est peut-être grâce à elle que\j'ai appris ce qu'était l'amour.
sc512_spa_max	Mon amie m'attend.\Je reviens !
sc513_spa_1	Si tu m'offres cette place,\je te donnerai une récompense.
sc513_spa_2	Les humains peuvent être plutôt utiles.\Mais leur idiotie les rend si peu maniables.
sc513_spa_3	Garde à l'esprit\que ceux qui me défient reçoivent la punition qu'ils méritent.
sc513_spa_4	Viens par ici.\J'aimerais mieux voir ton visage.
sc513_spa_5	Offre-moi tout ce que tu possèdes.\Je deviendrai ta lumière.
sc513_spa_max	Laisse-moi te bénir.\Que souhaites-tu ?\Je suis Akrasia, la toute-puissante.\Rien ne m'est impossible.
sc514_spa_1	Je ne savais pas qu'il y avait des sources chaudes du Royaume infernal dans le Royaume des mortels !\Il n'y a plus aucune raison de retourner dans le Royaume infernal, non ?
sc514_spa_2	Tant de choses ne sont pas pratiques sans Archimago.\Bien sûr, il est insolent, mais il fait bien le travail.
sc514_spa_3	Tu es très étrange, tu sais ?\Pourquoi ne pas tirer avantage des humains ?\Ne me dis pas que tu as des acquits de conscience !
sc514_spa_4	J'aimerais devenir Reine des démons si je pouvais.\Mais je ne suis assez sûre de moi. C'est pareil pour toi, non ?\Et si tu venais vivre dans mon royaume ?
sc514_spa_5	Quel est le problème avec les démons qui deviennent des dieux ?\Nous avons toujours été des menteurs.\Tu devrais essayer. C'est génial.
sc514_spa_max	Le Royaume infernal est tellement nul. Tout le monde te regarde de haut.\Toi aussi tu préfères le Royaume des mortels, hein ?\On se ressemble, toi et moi !
sc517_spa_1	Tu veux monter avec moi ?\Oh et puis, pourquoi pas ? Mais c'est bien parce que tu es le Maître.
sc517_spa_2	Si tu es la raison de ma naissance,\ça fait de toi mon papa ?\T'imaginer en papa est assez hilarant !
sc517_spa_3	Tu n'as vraiment pas idée\d'à quel point je t'apprécie, hein ?
sc517_spa_4	Tu ne veux pas te battre ? Tu n'es qu'une mauviette, hein ?\Bon, ça ira. Tu as Grendel à tes côtés !
sc517_spa_5	Mon vœu, c'est d'avoir une vie amusante.\Tu dis que les démons ne réalisent pas les vœux,\mais j'ai l'impression que le mien s'est réalisé grâce à toi.
sc517_spa_max	Faisons ensemble que nos vies\soient très amusantes, Maître.\Et il est interdit de s'enfuir, pigé ?
sc520_spa_1	C'est incroyable ! J'en oublierais presque tous mes soucis.
sc520_spa_2	Si chaud et si agréable.
sc520_spa_3	Cet endroit est encore mieux que ce à quoi je m'attendais.
sc520_spa_4	Te connaissant, je ne m'attendais pas à quelque chose d'aussi agréable.
sc520_spa_5	Je préfère traîner ici plutôt que\d'affronter l'impitoyable destin.
sc520_spa_max	Je veux venir ici avec Sarasu et Pandore.
sc521_spa_1	C'est pas mon style.
sc521_spa_2	Hm... On dirait que je me suis endormie.
sc521_spa_3	Le devoir d'un Child ?\Et le devoir du maître, alors ?\J'ai l'impression que Dalia\comprend pas tout ça.
sc521_spa_4	Je me souviens pas t'avoir demandé d'être gentil envers moi.\Je dis pas que je me plais pas ici.
sc521_spa_5	Pour être honnête, Dalia et toi êtes pathétiques.\Cela dit, t'es plus agréable à côtoyer.
sc521_spa_max	Je ferai de mon mieux à ma façon\tant qu'on est ensemble.\Considère ça comme le minimum syndical.
sc522_spa_1	Je t'ai suivi jusqu'ici en pensant\que j'avais été dupée.\Voyons voir à quel point cet endroit est "incroyable".
sc522_spa_2	J'ai essayé d'établir la liste de ce que Zegati peut faire.\Petit un : comédienne. Petit deux : top model.\Et petit trois...
sc522_spa_3	J'ai décidé.\Je vais acheter les sources chaudes du Royaume infernal !
sc522_spa_4	Après le concours du Roi des démons, Zegati et moi\allons vivre heureuses ensemble au Royaume infernal.\C'est notre destin.
