// key	ITEM_NAME_	ITEM_DESCRIPTION_
10000101	Cheveux tombés	Chacun des brins de ces cheveux montre des traces spirituelles.
5150905	C'est l'anniversaire !	Ce soir, c'est la fête !\Childs, démons, venez tous !
5150906	C'est l'anniversaire !	Ce soir, c'est la fête !\Childs, démons, venez tous !
5150925	Prudence extrême	Pour éviter soigneusement tout danger. Peut-être trop soigneusement...
5150926	Prudence extrême	Pour éviter soigneusement tout danger. Peut-être trop soigneusement...
5150935	Bonjour, mon amour	Vous ne vous souvenez peut-être pas de moi, mais votre cœur, si. \Nous sommes destinés l'un à l'autre.
5150936	Bonjour, mon amour	Vous ne vous souvenez peut-être pas de moi, mais votre cœur, si. \Nous sommes destinés l'un à l'autre.
5150945	Jeune fille en prière	Dans ma prochaine vie, je veux être un papillon \pour pouvoir voler librement.
5150946	Jeune fille en prière	Dans ma prochaine vie, je veux être un papillon \pour pouvoir voler librement.
5150955	Fan de jeux de combat	Aucune idée... \Celui qui mène les troupes, j'imagine ?
5150956	Fan de jeux de combat	Aucune idée... \Celui qui mène les troupes, j'imagine ?
5150965	Serment centennal	Le bonheur serait possible, si on était ensemble. \Acceptez-vous de remettre votre avenir entre mes mains ?
5150966	Serment centennal	Le bonheur serait possible, si on était ensemble. \Acceptez-vous de remettre votre avenir entre mes mains ?
5150975	La malice à l'état pur	Que pense vraiment cette fille pétrie de malice sous ses airs d'ange ?
5150976	La malice à l'état pur	Que pense vraiment cette fille pétrie de malice sous ses airs d'ange ?
5150995	Je suis là.	Même si je disparais, je suis toujours là. Nous serons toujours ensemble, Mona !
5150996	Je suis là.	Même si je disparais, je suis toujours là. Nous serons toujours ensemble, Mona !
5151001	Salle de sieste galactique	Équipement permettant d'augmenter\l'EXP de développement d'âme.
5151005	Plage crépusculaire	Hé, allons-y doucement. ♥
5151006	Plage crépusculaire	Hé, allons-y doucement. ♥
5151015	Pardon ?	Assure-toi que personne n'est dans la cabine avant d'entrer.
5151016	Pardon ?	Assure-toi que personne n'est dans la cabine avant d'entrer.
5151025	Les débuts de l'amour	Le rideau se lève sur les jours où ils se sont croisés\et une nouvelle histoire d'amour voit le jour.
5151026	Les débuts de l'amour	Le rideau se lève sur les jours où ils se sont croisés\et une nouvelle histoire d'amour voit le jour.
5151035	Vacances d'été	L'été est synonyme de plage !\Et la plage est faite pour se baigner !
5151036	Vacances d'été	L'été est synonyme de plage !\Et la plage est faite pour se baigner !
5151055	Carte intéressante de poker	C'est votre chance de tester votre avenir ! \Laquelle est le Joker ?
5151056	Carte intéressante de poker	C'est votre chance de tester votre avenir ! \Laquelle est le Joker ?
5151085	Buffet de plage	Merci pour votre présence.\Pouvons-nous commencer ?
5151086	Buffet de plage	Merci pour votre présence.\Pouvons-nous commencer ?
5151095	Un rendez-vous estival chez soi	Il fait si chaud dehors en été.\Et si on restait à l'intérieur ?
5151096	Un rendez-vous estival chez soi	Il fait si chaud dehors en été.\Et si on restait à l'intérieur ?
5151105	Porter un maillot de bain	Il y a un souci avec son maillot de bain ?\Sytry lui a montré comment le porter correctement, non ?
5151106	Porter un maillot de bain	Il y a un souci avec son maillot de bain ?\Sytry lui a montré comment le porter correctement, non ?
5151115	Été de luxe	Báthory profite de l'été dans le luxe.
5151116	Été de luxe	Báthory profite de l'été dans le luxe.
5151125	Vagues étincelantes en vue	Cet été, je vais faire du surf.
5151126	Vagues étincelantes en vue	Cet été, je vais faire du surf.
5151135	La deuxième mort	Les menteurs sont promis aux flammes de l'Enfer !
5151136	La deuxième mort	Les menteurs sont promis aux flammes de l'Enfer !
5151145	Allons jouer sur la plage	La frêle Métis peut-elle jouer dans l'eau ?\Et si les vagues l'emportaient ?
5151146	Allons jouer sur la plage	La frêle Métis peut-elle jouer dans l'eau ?\Et si les vagues l'emportaient ?
5151155	L'amour non partagé de Roussalka	Quand elle est dans l'eau, Roussalka n'hésite jamais.
5151156	L'amour non partagé de Roussalka	Quand elle est dans l'eau, Roussalka n'hésite jamais.
5151165	Luna pleine lune	Je suis le clair de lune qui brille sur vous. \Je serai toujours à vos côtés.
5151166	Luna pleine lune	Je suis le clair de lune qui brille sur vous. \Je serai toujours à vos côtés.
5151175	Bienvenue	Des étrangers m'accueillent dans ma propre maison.\Quel est ce sentiment ? Est-ce de la joie ou une impression de déjà-vu ?
5151176	Bienvenue	Des étrangers m'accueillent dans ma propre maison.\Quel est ce sentiment ? Est-ce de la joie ou une impression de déjà-vu ?
5151185	La fin d'une longue attente	Allez-y, vous pouvez pleurer. Je n'ai besoin que de vous, M. Démon.
5151186	La fin d'une longue attente	Allez-y, vous pouvez pleurer. Je n'ai besoin que de vous, M. Démon.
5151215	Ce qu'ils ont perdu	Les décisions de Titania, extrêmement tête-en-l'air, et de Mitra, déterminée à ne plus rien lâcher.
5151216	Ce qu'ils ont perdu	Les décisions de Titania, extrêmement tête-en-l'air, et de Mitra, déterminée à ne plus rien lâcher.
5151235	Réconfort	Je me délassais un peu... Voulez-vous vous joindre à moi ?
5151236	Réconfort	Je me délassais un peu... Voulez-vous vous joindre à moi ?
5151245	On se réveille	Me croira-t-il si je dis que c'est le mieux que j'ai pu faire pour le sauver de l'enfer ?
5151246	On se réveille	Me croira-t-il si je dis que c'est le mieux que j'ai pu faire pour le sauver de l'enfer ?
5151255	Douce compositrice	Pour ne pas se faire supplanter par Vénus♥, \elle prend soin d'être une compositrice jolie, mimi et diablo-sexy !
5151256	Douce compositrice	Pour ne pas se faire supplanter par Vénus♥, \elle prend soin d'être une compositrice jolie, mimi et diablo-sexy !
5151265	Essayage	Quelle tenue vais-je mettre à notre prochain concert ? \Elles sont toutes les deux super et je n'arrive pas à me décider !
5151266	Essayage	Quelle tenue vais-je mettre à notre prochain concert ? \Elles sont toutes les deux super et je n'arrive pas à me décider !
5151275	Notre monde à nous	Je peux vous dire tout ce dont je me souviens.
5151276	Notre monde à nous	Je peux vous dire tout ce dont je me souviens.
5151285	Souvenirs de Miriam	Je n'ai aucune envie que l'on se sépare, mais sachez que je penserai toujours à vous \et au monde que vous protégez.
5151286	Souvenirs de Miriam	Je n'ai aucune envie que l'on se sépare, mais sachez que je penserai toujours à vous \et au monde que vous protégez.
5151295	Dans les bras d'une sœur	Sytry, je sais ce que c'est que l'amour, maintenant... \Tu es dans mon cœur.
5151296	Dans les bras d'une sœur	Sytry, je sais ce que c'est que l'amour, maintenant... \Tu es dans mon cœur.
5151305	Baiser réciproque	Avant et après les combats,\tu disais toujours mon nom.
5151306	Baiser réciproque	Avant et après les combats,\tu disais toujours mon nom.
5151325	Chanter avec son cœur	Je porterai cette tenue que Maestro a conçue...
5151326	Chanter avec son cœur	Je porterai cette tenue que Maestro a conçue...
5151335	Mesure de justice	Le petit chiot a toujours raison. \Pour la justice !
5151336	Mesure de justice	Le petit chiot a toujours raison. \Pour la justice !
5151345	Valentine accidentelle	J'ai mis tout mon cœur dans ce chocolat, mais j'étais tellement nerveuse que je l'ai jeté par erreur...
5151346	Valentine accidentelle	J'ai mis tout mon cœur dans ce chocolat, mais j'étais tellement nerveuse que je l'ai jeté par erreur...
5151355	Le cadeau de Tiwaz	C'est du bon chocolat... J'en ai fait un peu. Vous en voulez ?
5151356	Le cadeau de Tiwaz	C'est du bon chocolat... J'en ai fait un peu. Vous en voulez ?
5151365	Le cadeau de Juno	Ce n'est pas qu'un simple cadeau. Ça vous plaît ?
5151366	Le cadeau de Juno	Ce n'est pas qu'un simple cadeau. Ça vous plaît ?
5151375	Cadeau de Léo	Je... je ne sais pas comment vous dire ça, mais...\Je... je vous aime bien ! Tenez, acceptez ceci.
5151376	Cadeau de Léo	Je... je ne sais pas comment vous dire ça, mais...\Je... je vous aime bien ! Tenez, acceptez ceci.
5151385	Repos en paix	Babel,\ce rituel est uniquement pour toi.
5151386	Repos en paix	Babel,\ce rituel est uniquement pour toi.
5151405	Mona experte	Attendez ! Ne bougez pas, maître. \Mona va s'occuper de vous. ♡
5151406	Mona experte	Attendez ! Ne bougez pas, maître. \Mona va s'occuper de vous. ♡
5151445	Paradis fleuri	Tu es mon compagnon, mon arbre fleuri. \Vivons dans un paradis connu de nous seuls...
5151446	Paradis fleuri	Tu es mon compagnon, mon arbre fleuri. \Vivons dans un paradis connu de nous seuls...
5151455	Bergerie paisible	Chie Amamiya et Tsumiki Tsubokura folâtrent avec d'adorables moutons.
5151456	Bergerie paisible	Chie Amamiya et Tsumiki Tsubokura folâtrent avec d'adorables moutons.
5151505	Un bronzage chamanique	Laisse-moi te mettre de la crème.\Arh ! Hé, arrête de bouger !
5151506	Un bronzage chamanique	Laisse-moi te mettre de la crème.\Arh ! Hé, arrête de bouger !
5151515	Seth revenu à la vie	Je reviens à la vie par le pouvoir du Seigneur.
5151516	Seth revenu à la vie	Je reviens à la vie par le pouvoir du Seigneur.
5151525	J'irai n'importe où en compagnie de mes amis	Encore une belle journée pour May, des Pirates Jellyfish !\"M. Dolphin, à l'attaque ! C'est parti !"
5151526	J'irai n'importe où en compagnie de mes amis	Encore une belle journée pour May, des Pirates Jellyfish !\"M. Dolphin, à l'attaque ! C'est parti !"
5151535	MARÉCHALE COMBATTANTE DÉBORDANTE D'ÉNERGIE	Son masque en main, Jack-O' est prête à en découdre.\"Des bonbons ou un sort ? Je plaisante... ou peut-être pas..."
5151536	MARÉCHALE COMBATTANTE DÉBORDANTE D'ÉNERGIE	Son masque en main, Jack-O' est prête à en découdre.\"Des bonbons ou un sort ? Je plaisante... ou peut-être pas..."
5151545	Invité non invité de Keika To	Un être impie s'y accroche
5151546	Invité non invité de Keika To	Un être impie s'y accroche
5151555	Plaisir estival	La planche de surf de Lisa\glisse sur les vagues.
5151556	Plaisir estival	La planche de surf de Lisa\glisse sur les vagues.
5151585	Dessert mortel	Ce dessert est si bon que, tout à votre dégustation, vous ne remarqueriez même pas que \votre ami, assis près de vous, est mort.
5151586	Dessert mortel	Ce dessert est si bon que, tout à votre dégustation, vous ne remarqueriez même pas que \votre ami, assis près de vous, est mort.
5151595	L'hiver passé ensemble	Écoutons nos cœurs\et tenons-nous la main.
5151596	L'hiver passé ensemble	Écoutons nos cœurs\et tenons-nous la main.
5151605	Café de Petit paisible	Vous êtes un client ? \Mmh... On est fermés pour le moment.
5151606	Café de Petit paisible	Vous êtes un client ? \Mmh... On est fermés pour le moment.
5151625	Costume de Halloween de Procel	Ah ! Ne vous faites pas trop d'idées... Ce n'est qu'un costume de Halloween !
5151626	Costume de Halloween de Procel	Ah ! Ne vous faites pas trop d'idées... Ce n'est qu'un costume de Halloween !
5151655	Entre le purgatoire et l'enfer	Cette tombe est un monticule formé des corps de poupées abandonnées.
5151656	Entre le purgatoire et l'enfer	Cette tombe est un monticule formé des corps de poupées abandonnées.
5151665	Casse-croûte de petite succube	Davi a trouvé les rations de secours de l'autre imbécile ! \Elle va toutes les dévorer !
5151666	Casse-croûte de petite succube	Davi a trouvé les rations de secours de l'autre imbécile ! \Elle va toutes les dévorer !
5151675	Combat sans fin	Les cœurs s'affrontent sur le champ de bataille des ténèbres.
5151676	Combat sans fin	Les cœurs s'affrontent sur le champ de bataille des ténèbres.
5151685	Le mal contre le mal	Un seul vainqueur s'assiéra sur le trône.
5151686	Le mal contre le mal	Un seul vainqueur s'assiéra sur le trône.
5151695	L'ombre du soleil	Derrière le soleil qui illumine la reine...
5151696	L'ombre du soleil	Derrière le soleil qui illumine la reine...
5151705	Vous avez une carte de fidélité ?	Encore une journée de dur labeur pour\subvenir aux besoins de mes adorables assistantes.
5151706	Vous avez une carte de fidélité ?	Encore une journée de dur labeur pour\subvenir aux besoins de mes adorables assistantes.
5151715	Leurs vœux	Leurs âmes sont éternellement liées. Elles possèdent\des souvenirs et des promesses qui leur sont propres.
5151716	Leurs vœux	Leurs âmes sont éternellement liées. Elles possèdent\des souvenirs et des promesses qui leur sont propres.
5151725	Les souvenirs de la reine	Des souvenirs vagues et estompés de l'époque où elle était encore une jeune fille.
5151726	Les souvenirs de la reine	Des souvenirs vagues et estompés de l'époque où elle était encore une jeune fille.
5151735	Nouveau cadeau.	Je serai votre bonne fée, mais pas très longtemps.
5151736	Nouveau cadeau.	Je serai votre bonne fée, mais pas très longtemps.
5151745	Vif comme une flamme	Alors qu'elle tendait la main vers moi, ses yeux étaient vifs comme une flamme.
5151746	Vif comme une flamme	Alors qu'elle tendait la main vers moi, ses yeux étaient vifs comme une flamme.
5151755	Manifestation de déesse	Là où je suis descendu, l'endroit était un temple.
5151756	Manifestation de déesse	Là où je suis descendu, l'endroit était un temple.
5151765	Desperado	Courir est inutile. Elle t'a déjà vu.
5151766	Desperado	Courir est inutile. Elle t'a déjà vu.
5151775	Changement d'air	Mon tireur de traîneau a disparu. \Je ne peux pas chercher la Boîte de Noël si je suis de mauvaise humeur !
5151776	Changement d'air	Mon tireur de traîneau a disparu. \Je ne peux pas chercher la Boîte de Noël si je suis de mauvaise humeur !
5151785	Le thé sanglant	Le moment est venu de couper ce délicieux gâteau !\On reste assis.
5151786	Le thé sanglant	Le moment est venu de couper ce délicieux gâteau !\On reste assis.
5151795	Tigre chassant le renard	Les dents de Tamamo \plus acérées que des crocs de bête sauvage !
5151796	Tigre chassant le renard	Les dents de Tamamo \plus acérées que des crocs de bête sauvage !
5151815	Héritier du Roi des démons	Es-tu vraiment...\La personne que je cherche ?
5151816	Héritier du Roi des démons	Es-tu vraiment...\La personne que je cherche ?
5151825	Talent de Lisa au billard	Écartez-vous, s'il vous plaît. Je ne vois rien.\J'ai besoin de calculer précisément.
5151826	Talent de Lisa au billard	Écartez-vous, s'il vous plaît. Je ne vois rien.\J'ai besoin de calculer précisément.
5151835	Joli tir, patron !	Divertir un gros bonnet en le faisant jouer au golf pour valider quelques pactes... \Les compétences de Mona épatent la tête de coq qui lui sert de caddy !
5151836	Joli tir, patron !	Divertir un gros bonnet en le faisant jouer au golf pour valider quelques pactes... \Les compétences de Mona épatent la tête de coq qui lui sert de caddy !
5151845	Sourire envoûtant	Le sourire de Roussalka brille plus fort que\le soleil d'été lorsqu'elle se relaxe sur la plage.
5151846	Sourire envoûtant	Le sourire de Roussalka brille plus fort que\le soleil d'été lorsqu'elle se relaxe sur la plage.
5151855	La dernière épreuve	Natalis lève son bâton,\elle va toucher la pastèque à coup sûr.
5151856	La dernière épreuve	Natalis lève son bâton,\elle va toucher la pastèque à coup sûr.
5151865	Reine vampire de l'été	Lorsqu'elle s'amuse à la plage, même la fameuse\Reine vampire a l'air d'une petite fille innocente.
5151866	Reine vampire de l'été	Lorsqu'elle s'amuse à la plage, même la fameuse\Reine vampire a l'air d'une petite fille innocente.
5151875	La tentation de Sytry	Hi hi, par ici, monsieur le démon.\Vous voulez bien m'aider à mettre de la crème ?
5151876	La tentation de Sytry	Hi hi, par ici, monsieur le démon.\Vous voulez bien m'aider à mettre de la crème ?
5151895	Phénomène de mode	Une robe d'un blanc immaculé, confectionnée pour le tapis rouge.\Elle s'accorde parfaitement avec les cheveux argentés de Lisa.
5151896	Phénomène de mode	Une robe d'un blanc immaculé, confectionnée pour le tapis rouge.\Elle s'accorde parfaitement avec les cheveux argentés de Lisa.
5151905	Et si on dansait ?	Mon petit maître,\vous êtes un très bon danseur. ♡
5151906	Et si on dansait ?	Mon petit maître,\vous êtes un très bon danseur. ♡
5151915	Fête spéciale de Davi	Tant de délicieuses choses à manger !\Tout le monde doit en profiter !
5151916	Fête spéciale de Davi	Tant de délicieuses choses à manger !\Tout le monde doit en profiter !
5151925	Fête de fin d'année mouvementée	La fête bat son plein,\impossible d'arrêter Ève.
5151926	Fête de fin d'année mouvementée	La fête bat son plein,\impossible d'arrêter Ève.
5151955	Que l'été vous soit bénéfique	Venez jouer avec nous !
5151956	Que l'été vous soit bénéfique	Venez jouer avec nous !
60000005	Sceau de maître forgeron	Sceau spécial octroyé à ceux qui maîtrisent toutes les catégories de forgeage.
60000007	Gland d'automne	Les animaux ont besoin de ces glands pour survivre à l'hiver. N'en prenons pas trop...
60000008	Pomme de pin automnale	Pomme de pin cachée sous les feuilles d'automne. Fait une très jolie décoration d'intérieur de saison.
60000012	D comme Destin	Lettre démoniaque qui augure le début d'un incroyable destin. \Détient peut-être une mystérieuse puissance magique...
60000013	E comme Destin	Lettre démoniaque qui augure d'une bonne fortune. \À énoncer à voix basse pour connaître votre destin.
60000014	S comme Destin	Lettre laissée par un démon mort en affrontant le destin. \S'agirait-il de l'initiale du coupable ?
60000015	T comme Destin	Lettre démoniaque découverte dans d'anciennes ruines du Royaume infernal. \Elle est sans doute maudite...
60000016	I comme Destin	Lettre démoniaque qui apporte la fortune aux chercheurs de destin. \Détient une énergie mystérieuse.
60000017	N comme Destin	Lettre démoniaque maudite, laissée à l'abandon. \Gloire à celui qui la débarrassera de sa malédiction !
60000018	Y comme Destin	Lettre démoniaque marquant le début d'un nouveau destin. \Gloire à celui qui n'abandonne jamais !
60000020	Pièce d'or de célébration	Pièce commémorative symbolisant les souvenirs de tout le monde au cours des quatre dernières années.\Scintille d'une lumière dorée.
60000021	Pièce d'or de célébration	Pièce commémorative symbolisant les souvenirs de tout le monde au cours des quatre dernières années.\Scintille d'une lumière dorée.
60000022	Noix de coco	Noix de coco sucrée importée directement de l'île d'Amos.
60000023	Bouée rayée	Une bouée qui a été créée\par pure passion et ténacité.
60000035	Ticket d'entrée déchiré	Récupérez les morceaux pour tenter votre chance !
60000039	Ticket d'entrée A	Ticket à l'effigie d'Acrasie. Ticket pouvant servir de billet d'entrée. \Avec un peu de chance, vous recevrez une idole d'Acrasie du culte Lumière guérisseuse.
60000040	Ticket d'entrée B	Ticket à l'effigie du cœur de quelqu'un. Ticket servant de billet d'entrée. \Avec un peu de chance, vous recevrez un sous-main à l'effigie de votre personnage préféré.
60000041	Ticket d'entrée C	Ticket à l'effigie du cœur de quelqu'un. Ticket pouvant servir de billet d'entrée. \Avec un peu de chance, vous recevrez un poster à l'effigie de votre personnage préféré.
60000042	Ticket d'entrée D	Ticket à l'effigie du cœur de quelqu'un. Ticket pouvant servir de billet d'entrée. \Avec un peu de chance, vous recevrez un ensemble d'articles très jolis.
6001011	Trésor (P)	Un petit trésor contenant quelques pièces d'or.
6001021	Trésor lourd (P)	Un petit trésor rempli à ras bord de pièces d'or.
6001031	Trésor (M)	Un trésor contenant des pièces d'or.
6001041	Trésor lourd (M)	Un trésor rempli à ras bord de pièces d'or.
6001051	Trésor (G)	Un gros trésor contenant des pièces d'or.
6001061	Trésor lourd (G)	Un gros trésor rempli à ras bord de pièces d'or.
6001071	Trésor de luxe	Un trésor de luxe contenant de l'or, de l'argent et d'autres richesses.
6001072	Super trésor de luxe	Un super trésor de luxe contenant de l'or, de l'argent et d'autres richesses.
6001191	Petit trésor	Un petit trésor qui déborde de pièces d'or.\(Peut se vendre pour 10 000 pièces d'or)
6001201	Trésor moyen	Un trésor ordinaire qui déborde de pièces d'or.\(Peut se vendre pour 30 000 pièces d'or)
6001211	Grand trésor	Un gros trésor qui déborde de pièces d'or.
6001221	Pièce d'or (P)	Une pièce d'or véritable.
6001231	Pièce d'or (M)	Des pièces d'or véritable.
6001241	Pièce d'or (G)	Une montagne de pièces d'or véritable.
7000001	Raffineur d'arme +1	Donne +1 aux armes 5★.
7000002	Raffineur d'arme +2	Donne +2 aux armes 5★.
7000003	Raffineur d'arme +3	Donne +3 aux armes 5★.
7000004	Raffineur d'arme +4	Donne +4 aux armes 5★.
7000005	Raffineur d'arme +5	Donne +5 aux armes 5★.
7000006	Raffineur d'arme +6	Donne +6 aux armes 5★.
7000007	Raffineur d'arme +7	Donne +7 aux armes 5★.
7000008	Raffineur d'arme +8	Donne +8 aux armes 5★.
7000009	Raffineur d'arme +9	Donne +9 aux armes 5★.
7000010	Raffineur d'arme +10	Donne +10 aux armes 5★.
7000011	Raffineur d'arme +11	Donne +11 aux armes 5★.
7000012	Raffineur d'arme +12	Donne +12 aux armes 5★.
7000013	Raffineur d'arme +13	Donne +13 aux armes 5★.
7000014	Raffineur d'arme +14	Donne +14 aux armes 5★.
7000015	Raffineur d'arme +15	Donne +15 aux armes 5★.
7001001	Raffineur d'armure +1	Donne +1 aux armures 5★.
7001002	Raffineur d'armure +2	Donne +2 aux armures 5★.
7001003	Raffineur d'armure +3	Donne +3 aux armures 5★.
7001004	Raffineur d'armure +4	Donne +4 aux armures 5★.
7001005	Raffineur d'armure +5	Donne +5 aux armures 5★.
7001006	Raffineur d'armure +6	Donne +6 aux armures 5★.
7001007	Raffineur d'armure +7	Donne +7 aux armures 5★.
7001008	Raffineur d'armure +8	Donne +8 aux armures 5★.
7001009	Raffineur d'armure +9	Donne +9 aux armures 5★.
7001010	Raffineur d'armure +10	Donne +10 aux armures 5★.
7001011	Raffineur d'armure +11	Donne +11 aux armures 5★.
7001012	Raffineur d'armure +12	Donne +12 aux armures 5★.
7001013	Raffineur d'armure +13	Donne +13 aux armures 5★.
7001014	Raffineur d'armure +14	Donne +14 aux armures 5★.
7001015	Raffineur d'armure +15	Donne +15 aux armures 5★.
7002001	Raffineur d'accessoire +1	Donne +1 aux accessoires 5★.
7002002	Raffineur d'accessoire +2	Donne +2 aux accessoires 5★.
7002003	Raffineur d'accessoire +3	Donne +3 aux accessoires 5★.
7002004	Raffineur d'accessoire +4	Donne +4 aux accessoires 5★.
7002005	Raffineur d'accessoire +5	Donne +5 aux accessoires 5★.
7002006	Raffineur d'accessoire +6	Donne +6 aux accessoires 5★.
7002007	Raffineur d'accessoire +7	Donne +7 aux accessoires 5★.
7002008	Raffineur d'accessoire +8	Donne +8 aux accessoires 5★.
7002009	Raffineur d'accessoire +9	Donne +9 aux accessoires 5★.
7002010	Raffineur d'accessoire +10	Donne +10 aux accessoires 5★.
7002011	Raffineur d'accessoire +11	Donne +11 aux accessoires 5★.
7002012	Raffineur d'accessoire +12	Donne +12 aux accessoires 5★.
7002013	Raffineur d'accessoire +13	Donne +13 aux accessoires 5★.
7002014	Raffineur d'accessoire +14	Donne +14 aux accessoires 5★.
7002015	Raffineur d'accessoire +15	Donne +15 aux accessoires 5★.
7100001	Raffineur d'arme ＋1	Donne ＋1 aux armes 5★.
7100002	Raffineur d'arme ＋2	Donne ＋2 aux armes 5★.
7100003	Raffineur d'arme ＋3	Donne ＋3 aux armes 5★.
7100004	Raffineur d'arme ＋4	Donne ＋4 aux armes 5★.
7100005	Raffineur d'arme ＋5	Donne ＋5 aux armes 5★.
7100006	Raffineur d'arme ＋6	Donne ＋6 aux armes 5★.
7100007	Raffineur d'arme ＋7	Donne ＋7 aux armes 5★.
7100008	Raffineur d'arme ＋8	Donne ＋8 aux armes 5★.
7100009	Raffineur d'arme ＋9	Donne ＋9 aux armes 5★.
7100010	Raffineur d'arme ＋10	Donne ＋10 aux armes 5★.
7100011	Raffineur d'arme ＋11	Donne ＋11 aux armes 5★.
7100012	Raffineur d'arme ＋12	Donne ＋12 aux armes 5★.
7100013	Raffineur d'arme ＋13	Donne ＋13 aux armes 5★.
7100014	Raffineur d'arme ＋14	Donne ＋14 aux armes 5★.
7100015	Raffineur d'arme ＋15	Donne ＋15 aux armes 5★.
7101001	Raffineur d'armure ＋1	Donne ＋1 aux armures 5★.
7101002	Raffineur d'armure ＋2	Donne ＋2 aux armures 5★.
7101003	Raffineur d'armure ＋3	Donne ＋3 aux armures 5★.
7101004	Raffineur d'armure ＋4	Donne ＋4 aux armures 5★.
7101005	Raffineur d'armure ＋5	Donne ＋5 aux armures 5★.
7101006	Raffineur d'armure ＋6	Donne ＋6 aux armures 5★.
7101007	Raffineur d'armure ＋7	Donne ＋7 aux armures 5★.
7101008	Raffineur d'armure ＋8	Donne ＋8 aux armures 5★.
7101009	Raffineur d'armure ＋9	Donne ＋9 aux armures 5★.
7101010	Raffineur d'armure ＋10	Donne ＋10 aux armures 5★.
7101011	Raffineur d'armure ＋11	Donne ＋11 aux armures 5★.
7101012	Raffineur d'armure ＋12	Donne ＋12 aux armures 5★.
7101013	Raffineur d'armure ＋13	Donne ＋13 aux armures 5★.
7101014	Raffineur d'armure ＋14	Donne ＋14 aux armures 5★.
7101015	Raffineur d'armure ＋15	Donne ＋15 aux armures 5★.
7102001	Raffineur d'accessoire ＋1	Donne ＋1 aux accessoires 5★.
7102002	Raffineur d'accessoire ＋2	Donne ＋2 aux accessoires 5★.
7102003	Raffineur d'accessoire ＋3	Donne ＋3 aux accessoires 5★.
7102004	Raffineur d'accessoire ＋4	Donne ＋4 aux accessoires 5★.
7102005	Raffineur d'accessoire ＋5	Donne ＋5 aux accessoires 5★.
7102006	Raffineur d'accessoire ＋6	Donne ＋6 aux accessoires 5★.
7102007	Raffineur d'accessoire ＋7	Donne ＋7 aux accessoires 5★.
7102008	Raffineur d'accessoire ＋8	Donne ＋8 aux accessoires 5★.
7102009	Raffineur d'accessoire ＋9	Donne ＋9 aux accessoires 5★.
7102010	Raffineur d'accessoire ＋10	Donne ＋10 aux accessoires 5★.
7102011	Raffineur d'accessoire ＋11	Donne ＋11 aux accessoires 5★.
7102012	Raffineur d'accessoire ＋12	Donne ＋12 aux accessoires 5★.
7102013	Raffineur d'accessoire ＋13	Donne ＋13 aux accessoires 5★.
7102014	Raffineur d'accessoire ＋14	Donne ＋14 aux accessoires 5★.
7102015	Raffineur d'accessoire ＋15	Donne ＋15 aux accessoires 5★.
8000001	Fleur de cerisier infernal	Un splendide cerisier du Royaume infernal.
8000005	Flocon de neige	Un superbe cristal de neige qui ressemble à un arbre aux longues branches gracieuses.\Collectionnez-les pour gagner une récompense.
8000009	Chips	Même les dieux doivent parfois se détendre.\Collectionnez-en beaucoup et vous pourriez avoir une surprise.
8000010	Moteur de Lisa	Extrêmement sophistiqué.\Collectionnez-les pour obtenir une jolie surprise.
8000016	Pastèque	Mangez de la pastèque pour affronter la chaleur de l'été !\Trouvez-en pour avoir une bonne surprise.
8000020	Feuille de ginkgo	Feuille de ginkgo séchée qui symbolise l'esprit d'automne. \Récupérez-en pour avoir une belle surprise.
8000025	Feux d'artifice	Magnifiques feux d'artifice illuminant les nuits d'été.\Récupérez-en pour faire une jolie surprise.
8000026	Châtaigne fermée	Châtaigne ronde, enfermée dans sa bogue piquante.\En récupérer vous enrichit le cœur.
8000027	Mini-cookie "Davi"	Davi s'est fait transformer en cookies ! \Récupérez-en pour obtenir une joyeuse surprise.
8000028	Trophées de Trisha	Trophées appartenant à Trisha.\Les collectionner déclenche quelque chose de bien.
8000029	Pièce porte-bonheur de démon	Quelle chance ! Vous avez trouvé une pièce porte-bonheur de démon !\Trouvez-en d'autres et faites fortune !
8000030	Bonbon à la citrouille	Bonbon à la citrouille donné à l'occasion d'Halloween.\Collectionnez-en pour obtenir une surprise… effrayante.
8000031	Cloche de Noël	Cloche sacrée qui sonne au réveillon de Noël.\Les démons qui l'entendent sont frappés de malchance pour une année.\C'est l'outil idéal pour gêner ses rivaux.
8000032	Cadeau de la Saint-Valentin	Cadeau à l'occasion d'une journée spéciale, \mais les chocolats qu'il contient sentent bizarre. \Ils sont peut-être mortels... Gardons la boîte bien fermée pour l'instant.
8000034	Mini-Davi en gelée	Jolie gelée en forme de Davi.
8000036	Perle naturelle	Perle brillant au milieu des vagues déferlantes.
8000037	Mini-bonbon "Davi"	Bonbon adorable en forme de Davi.
8000039	Bandeau de Lisa	Bandeau de performances sportives qui exacerbe le côté inflexible de Lisa.
8000040	Chaussette de Noël	Joyeux Noël à vous !
8000041	Bâton Saturne♥	Ce sera toujours toi, notre leader !\Tout le monde aime Saturne♥, notre planète scintillante.
8000042	Bâton Aria	Aria à la voix angélique,\tu seras toujours notre pop star ! ♡
8000043	Bâton Mars♥	Jolie, mimi, diablo-sexy~☆\Mars♥ fait ce qui lui plaît !
8000044	Bâton Vénus♥	Nous déclarons notre amour pour la ravissante Vénus♥.\Oh, ma Vénus♥ !
